"","Year","GrammyAward","Song","Artist","IsWinner"
"99","2013","Best Rock Song","Doom And Gloom","The Rolling Stones","Nominee"
"100","2013","Best Rock Song","Cut Me Some Slack","Paul McCartney, Dave Grohl, Krist Novoselic, Pat Smear","Winner"
"101","2013","Best Rock Song","Ain't Messin 'Round","Gary Clark Jr.","Nominee"
"102","2014","Best Rock Song","Lazaretto","Jack White","Nominee"
"103","2014","Best Rock Song","Gimme Something Good","Ryan Adams","Nominee"
"104","2014","Best Rock Song","Fever","The Black Keys","Nominee"
"105","2014","Best Rock Song","Blue Moon","Beck","Nominee"
"106","2014","Best Rock Song","Ain't It Fun","Paramore","Winner"
"107","2015","Best Rock Song","What Kind Of Man","Florence + The Machine","Nominee"
"108","2015","Best Rock Song","Lydia","Highly Suspect","Nominee"
"109","2015","Best Rock Song","Hold Back The River","James Bay","Nominee"
"110","2015","Best Rock Song","Ex's & Oh's","Elle King","Nominee"
"111","2015","Best Rock Song","Don't Wanna Fight","Zac Cockrell, Heath Fogg, Brittany Howard & Steve Johnson","Winner"
"112","2016","Best Rock Song","My Name Is Human","Highly Suspect","Nominee"
"113","2016","Best Rock Song","Heathens","Twenty One Pilots","Nominee"
"114","2016","Best Rock Song","Hardwired","Metallica","Nominee"
"115","2016","Best Rock Song","Burn The Witch","Colin Greenwood, Jonny Greenwood, Ed O'Brien, Philip Selway & Thom Yorke","Nominee"
"116","2016","Best Rock Song","Blackstar","David Bowie","Winner"
"117","2017","Best Rock Song","The Stage","Avenged Sevenfold","Nominee"
"118","2017","Best Rock Song","Run","Dave Grohl, Taylor Hawkins, Rami Jaffee, Nate Mendel, Chris Shiflett & Pat Smear","Winner"
"119","2017","Best Rock Song","Blood In The Cut","K.Flay","Nominee"
"120","2017","Best Rock Song","Atlas, Rise!","Metallica","Nominee"
"121","2017","Best Rock Song","Go To War","Nothing More","Nominee"
"122","2018","Best Rock Song","Black Smoke Rising","Greta Van Fleet","Nominee"
"123","2018","Best Rock Song","Jumpsuit","Twenty One Pilots","Nominee"
"124","2018","Best Rock Song","MANTRA","Bring Me The Horizon","Nominee"
"125","2018","Best Rock Song","Rats","Ghost","Nominee"
"126","2018","Best Rock Song","Masseduction","St. Vincent","Winner"
"127","2019","Best Rock Song","This Land","Gary Clark Jr.","Winner"
"128","2019","Best Rock Song","Fear Inoculum","Tool","Nominee"
"129","2019","Best Rock Song","Give Yourself A Try","The 1975","Nominee"
"130","2019","Best Rock Song","Harmony Hall","Vampire Weekend","Nominee"
"131","2019","Best Rock Song","History Repeats","Brittany Howard","Nominee"
"132","2020","Best Rock Song","Stay High","Brittany Howard","Winner"
"133","2020","Best Rock Song","Shameika","Fiona Apple","Nominee"
"134","2020","Best Rock Song","Not","Big Thief","Nominee"
"135","2020","Best Rock Song","Lost In Yesterday","Tame Impala","Nominee"
"136","2020","Best Rock Song","Kyoto","Phoebe Bridgers","Nominee"
"137","2021","Best Rock Song","Waiting On A War","Foo Fighters","Winner"
"138","2021","Best Rock Song","The Bandit","Kings Of Leon","Nominee"
"139","2021","Best Rock Song","Find My Way","Paul McCartney","Nominee"
"140","2021","Best Rock Song","Distance","Mammoth WVH","Nominee"
"141","2021","Best Rock Song","All My Favorite Songs","Weezer","Nominee"
"142","2022","Best Rock Song","Broken Horses","Brandi Carlile","Winner"
"143","2022","Best Rock Song","Blackout","Turnstile","Nominee"
"144","2022","Best Rock Song","Patient Number 9","Ozzy Osbourne Featuring Jeff Beck","Nominee"
"145","2022","Best Rock Song","Harmonia's Dream","The War On Drugs","Nominee"
"146","2022","Best Rock Song","Black Summer","Red Hot Chili Peppers","Nominee"
